OBJECTID *,Latitude,Longitude
1,29.85001,-85.50001
2,29.90001,-85.55
3,29.95001,-85.60001
4,30.10001,-85.8
5,30.00001,-85.65
6,30.20001,-85.95
7,29.97861,-85.6284
8,30.03135,-85.68647
9,29.88498,-85.4869
10,29.9379,-85.52551
11,29.9802,-85.5609
12,30.01191,-85.59344
13,30.0333,-85.61855
14,30.0654,-85.65945
15,30.1433,-85.76674
16,30.08356,-85.64499
17,30.07265,-85.62183
18,30.03611,-85.56764
19,30.02201,-85.55154
20,30.06185,-85.74369
21,30.09475,-85.71631
22,30.10168,-85.71041
23,30.07512,-85.65143
24,30.04646,-85.60522
25,30.02771,-85.57628
26,29.99418,-85.54349
27,29.96241,-85.50987
28,29.94717,-85.426
29,29.90965,-85.44629
30,30.00315,-85.53171
31,30.11953,-85.73208
32,30.1081,-85.74722
33,30.08607,-85.77143
34,30.23537,-85.92824
35,30.04839,-85.58026
36,30.07779,-85.63271
37,29.964052,-85.58102
38,29.997825,-85.607355
39,30.020312,-85.630714
40,30.046879,-85.673226
41,30.074599,-85.731091
